No,Kecamatan,Kelurahan,Nama KWT,Nama Ketua,No WA Ketua,Alamat Sekretariat,Jenis Usaha,Bantuan,Status,Latitude,Longitude,Google Maps
1,"CITANGKIL","KEBONSARI","KWT MANGGA","","","Link. Delingseng Rt.15/01 Kel. Kebonsari","Olahan Pertanian dan Penjualan Sayuran","bantuan Program P2KP dan Swadaya","Aktif",-6.0198729,106.0220361,"https://www.google.com/maps?q=-6.0198729,106.0220361"
2,"CITANGKIL","KEBONSARI","KWT ROSELLA","","","Link. Delingseng  Kel. Kebonsari","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0198729,106.0213361,"https://www.google.com/maps?q=-6.0198729,106.0213361"
3,"CITANGKIL","CITANGKIL","KWT MANGGIS","","","Link. Tegal cabe Rt.03/02 Kel. Citangkil","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0190933,106.0412086,"https://www.google.com/maps?q=-6.0190933,106.0412086"
4,"CITANGKIL","CITANGKIL","KWT PAKCOY","","","Link. Ramanuju Baru (Kampung Lukis)","Olahan Pertanian dan Penjualan Sayuran","Bantuan Program P2L 2022","Aktif",-6.0096292,106.0446181,"https://www.google.com/maps?q=-6.0096292,106.0446181"
5,"CITANGKIL","CITANGKIL","KWT SELADA","","","Link. Ramanuju Tegal","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0190933,106.0405086,"https://www.google.com/maps?q=-6.0190933,106.0405086"
6,"CITANGKIL","CITANGKIL","KWT KANGKUNG","","","Link. Sambimanis","Olahan Pertanian dan Penjualan Sayuran","Bantuan Program Pelatihan Hidropinik 2023","Aktif",-6.015477,106.0403824,"https://www.google.com/maps?q=-6.015477,106.0403824"
7,"CITANGKIL","WARNASARI","KWT TAMAN WARGA","","","Link. Sambi Regag Rt. 05/03 Kel. Warnasari","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0353023,106.0672444,"https://www.google.com/maps?q=-6.0353023,106.0672444"
8,"CITANGKIL","WARNASARI","KWT LIDAH BUAYA","","","Link. Kubang Lesung Brangbang Kel. Taman Baru","","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0211533,106.0323972,"https://www.google.com/maps?q=-6.0211533,106.0323972"
9,"CITANGKIL","TAMAN BARU","KWT MAWAR","","","Link. Kedawung Kel. Taman Baru","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam , dan Program Urban Farming 2023 oleh DKPP","Aktif",-6.0258906,106.0385799,"https://www.google.com/maps?q=-6.0258906,106.0385799"
10,"CITANGKIL","TAMAN BARU","KWT MELATI","","","Link. Kubang Lesung Pabuaran Kel. Taman Baru","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0299491,106.0254219,"https://www.google.com/maps?q=-6.0299491,106.0254219"
11,"CITANGKIL","TAMAN BARU","KWT EUNCUNG","","","","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0236066,106.0326992,"https://www.google.com/maps?q=-6.0236066,106.0326992"
12,"CITANGKIL","TAMAN BARU","KWT BAYAM","","","Link. Sondol Kel Tamanbaru","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0396115,106.0308337,"https://www.google.com/maps?q=-6.0396115,106.0308337"
13,"CITANGKIL","CITANGKIL","SINTRONG","","","Link. Mekarjadi Rt. 017/003 Kel. Lebak Denok","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.025101,106.0220575,"https://www.google.com/maps?q=-6.025101,106.0220575"
14,"CITANGKIL","LEBAK DENOK","KWT CENGEK","","","Link. Kapudenok Julalen Rt. 03/01 Kel. Lerbak Denok","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0325812,106.0185325,"https://www.google.com/maps?q=-6.0325812,106.0185325"
15,"CITANGKIL","LEBAK DENOK","KWT KATUK","","","Link. Kapudenok Julalen Rt. 03/01 Kel. Lerbak Denok","Olahan Pertanian dan Penjualan Sayuran","bantuan Bibit Tanaman","Aktif",-6.0325812,106.0178325,"https://www.google.com/maps?q=-6.0325812,106.0178325"
16,"CITANGKIL","DERINGO","KWT KACANG TUNGGAK","","","Link. Pekalongan Rt. 01/01 Kel. Deringo","Olahan Pertanian dan Penjualan Sayuran","Bantuan P2l tahun 2019","Aktif",-6.0295182,106.0039258,"https://www.google.com/maps?q=-6.0295182,106.0039258"
17,"CITANGKIL","DERINGO","KWT JUWET","","","","Olahan Pertanian dan Penjualan Sayuran","Bantuan P2l tahun 2024","Aktif",-6.0252898,106.0074646,"https://www.google.com/maps?q=-6.0252898,106.0074646"
18,"CITANGKIL","SAMANGRAYA","KWT ANGGREK","","","Link. Kalentemu Barat Rt. 04/01 Kel. Semangraya'","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0129269,106.0104704,"https://www.google.com/maps?q=-6.0129269,106.0104704"
