id,tujuan,sasaran,indikator_sasaran,program,indikator_program,satuan,target_baseline_2024,target_2025,pagu_2025,target_2026,pagu_2026,target_2027,pagu_2027,target_2028,pagu_2028,target_2029,pagu_2029,target_2030,unit_penanggung_jawab,created_at
1,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Indeks Reformasi Birokrasi Perangkat Daerah,2.09.01 - PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,Tingkat Kepuasan Pegawai Perangkat Daerah,Skor,0,3,14848970000,3.5,15157320000,3.8,15483350000,4,15816470000,4.5,15816060000,4.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
2,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Indeks Reformasi Birokrasi Perangkat Daerah,2.09.01 - PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,Indeks Pelayanan Publik,%,79,80,,80,,80,,81,,82,,82,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
3,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Indeks Reformasi Birokrasi Perangkat Daerah,2.09.01 - PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,Tingkat Penerapan SPBE Perangkat Daerah,Skor,0,55,,60,,65,,75,,85,,90,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
4,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Meningkatnya tata kelola dan akuntabilitas kinerja pemerintah daerah yang efektif dan efisien,Indeks Reformasi Birokrasi Perangkat Daerah,2.09.01 - PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,Persentase BMD dalam kondisi baik dan termanfaatkan,%,100,100,,100,,100,,100,,100,,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
5,"Peningkatan Kualitas Konsumsi, Keamanan dan Ketahanan Pangan Masyarakat Berbasis Sumber Daya Lokal",peningkatan diversifikasi dan ketahanan pangan masyarakat yang diiringi dengan penguatan penanganan daerah rawan pangan serta intensifikasi pengawasan mutu dan keamanan pangan.,Prevalensi Ketidakcukupan Konsumsi Pangan (Prevalence of Undernourishment),2.09.02 - PROGRAM PENGELOLAAN KERAWANAN PANGAN,Persentase Daerah Rentan Rawan Pangan,%,100,100,140000000,100,140000000,100,140000000,100,140000000,100,140000000,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
6,"Peningkatan Kualitas Konsumsi, Keamanan dan Ketahanan Pangan Masyarakat Berbasis Sumber Daya Lokal",peningkatan diversifikasi dan ketahanan pangan masyarakat yang diiringi dengan penguatan penanganan daerah rawan pangan serta intensifikasi pengawasan mutu dan keamanan pangan.,Prevalensi Ketidakcukupan Konsumsi Pangan (Prevalence of Undernourishment),2.09.03 - PROGRAM PENGAWASAN KEAMANAN PANGAN,Persentase Pangan Segar yang Memenuhi Persyaratan dan Mutu Keamanan Pangan,Persentase,86,86,568300000,86,568300000,86,568300000,87,568300000,87,568300000,88,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
7,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan produksi perikanan tangkap dan budidaya yang berkelanjutan...,Jumlah Produksi Perikanan Tangkap,3.25.04 - PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA,Jumlah Produksi Perikanan Hasil Budidaya Ikan Nila,Ton,2,2,110000000,2.1,110000000,2.2,110000000,2.3,110000000,2.4,110000000,2.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
8,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan produksi perikanan tangkap dan budidaya yang berkelanjutan...,Jumlah Produksi Perikanan Budidaya,3.25.04 - PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA,Jumlah Produksi Perikanan Hasil Budidaya Ikan Lele,Ton,358,358,,358.9,,359.8,,362.7,,364.6,,367.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
9,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.02 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Jumlah Produksi Padi,Ton,10460.36,10460.36,100000000,10461,100000000,10461,100000000,10462,100000000,10462,100000000,10463,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
10,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.02 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Jumlah Produksi Jagung,Ton,150.3,150.3,,150.8,,151.3,,151.8,,152.3,,152.8,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
11,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Hortikultura,3.27.02 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Jumlah Produksi Tanaman Hortikultura jenis bawang merah,Ton,90.3,90.3,,90.35,,90.4,,90.45,,90.5,,90.55,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
12,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Hortikultura,3.27.02 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Jumlah Produksi Tanaman Hortikultura Jenis Cabai,Ton,107.6,107.6,,107.65,,107.7,,107.75,,107.8,,107.85,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
13,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.03 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,Cakupan Luas Lahan Pertanian yang Ditetapkan Menjadi LP2B,Ha,53.19,53.19,125000000,55,125000000,55,125000000,55,125000000,55,125000000,55,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
14,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.03 - PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,Jenis Prasarana Pertanian dan Peternakan yang Terbangun,Jenis,1,1,,1,,1,,1,,1,,1,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
15,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.04 - PROGRAM PENGENDALIAN KESEHATAN HEWAN DAN KESEHATAN MASYARAKAT VETERINER,Tingkat Pengendalian Penyakit Hewan Menular Strategis (PHMS),Dokumen,1,1,350000000,1,350000000,1,350000000,1,350000000,1,350000000,1,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
16,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.04 - PROGRAM PENGENDALIAN KESEHATAN HEWAN DAN KESEHATAN MASYARAKAT VETERINER,Persentase Unit Usaha Pangan Asal Hewan yang Memiliki Sertifikat Pra NKV atau NKV,Persentase,100,100,,100,,100,,100,,100,,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
17,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.05 - PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,Persentase Penanganan Bencana Pertanian,Persentase,100,100,100000000,100,102000000,100,104100000,100,106200000,100,106200000,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
18,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.05 - PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,Persentase Penanganan Dampak Perubahan Iklim Terhadap Pertanian,Persentase,100,100,,100,,100,,100,,100,,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
19,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.06 - PROGRAM PERIZINAN USAHA PERTANIAN,Persentase Izin Usaha Pertanian yang Diterbitkan,Persentase,100,100,25000000,100,25000000,100,25000000,100,25000000,100,25000000,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
20,Meningkatnya Nilai Tambah dan Daya Saing Sektor Pertanian dan Perikanan,Peningkatan distribusi dan kualitas sarana pertanian...,Peningkatan Produksi Tanaman Pangan,3.27.07 - PROGRAM PENYULUHAN PERTANIAN,Persentase SDM Penyuluh Pertanian yang Ditingkatkan,Persentase,100,100,190000000,100,190000000,100,190000000,100,190000000,100,190000000,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
