id,no,urusan_pd,indikator,satuan,baseline_2024,target_2025,target_2026,target_2027,target_2028,target_2029,target_2030,perangkat_daerah,created_at
1,1,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Prevalensi Ketidakcukupan Konsumsi Pangan (Prevalence of Undernourishment),(%),1.96,1.93,1.9,1.87,1.84,1.81,1.78,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
2,2,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Tingkat Kepuasan Pegawai Perangkat Daerah,Skor,0,3,3.5,3.8,4,4.5,4.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
3,3,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Tingkat Penerapan SPBE Perangkat Daerah,Skor,0,55,60,65,75,85,90,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
4,4,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Izin Usaha Pertanian yang Diterbitkan,Persentase,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
5,5,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Daerah Rentan Rawan Pangan,%,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
6,6,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase SDM Penyuluh Pertanian yang Ditingkatkan,Persentase,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
7,7,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Penanganan Bencana Pertanian,Persentase,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
8,8,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Perikanan Tangkap,Ton,237,237,237,238,239,240,241,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
9,9,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Angka Konsumsi Ikan,Kg/KAP/TH,28,28,29,29,29,29,29,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
10,10,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Cakupan Luas Lahan Pertanian yang Ditetapkan Menjadi LP2B,Ha,53.19,53.19,55,55,55,55,55,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
11,11,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Skor Pola Pangan Harapan,Nilai,90.9,91,91,91,92,92,93,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
12,12,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Pangan Segar yang Memenuhi Persyaratan dan Mutu Keamanan Pangan,Persentase,86,86,86,86,87,87,88,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
13,13,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Kepatuhan pelaku usaha kelautan dan perikanan,%,0,0,20,20,20,20,20,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
14,14,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Nilai SAKIP Perangkat Daerah,poin,84.42,84.42,85,85,86,86,87,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
15,15,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Kacang Tanah,Ton,369,369.5,370,370.5,371,371.5,372,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
16,16,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Indeks Pelayanan Publik,%,79,80,80,80,81,82,82,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
17,17,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Penanganan Dampak Perubahan Iklim Terhadap Pertanian,Persentase,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
18,18,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Perikanan Hasil Budidaya Ikan Nila,Ton,2,2,2.1,2.2,2.3,2.4,2.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
19,19,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Padi,Ton,10460.36,10460.36,10461,10461,10462,10462,10463,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
20,20,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase Unit Usaha Pangan Asal Hewan yang Memiliki Sertifikat Pra NKV atau NKV,Persentase,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
21,21,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Tanaman Hortikultura jenis bawang merah,Ton,90.3,90.3,90.35,90.4,90.45,90.5,90.55,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
22,22,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Perikanan Hasil Budidaya Ikan Lele,Ton,358,358,358.9,359.8,362.7,364.6,367.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
23,23,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Persentase BMD dalam kondisi baik dan termanfaatkan,%,100,100,100,100,100,100,100,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
24,24,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Jagung,Ton,150.3,150.3,150.8,151.3,151.8,152.3,152.8,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
25,25,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Jumlah Produksi Tanaman Hortikultura Jenis Cabai,Ton,107.6,107.6,107.65,107.7,107.75,107.8,107.85,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
26,26,2.09 - URUSAN PEMERINTAHAN BIDANG PANGAN,Peningkatan Produksi Komoditas Peternakan,Persentase,1,1,1.5,1.5,1.5,1.5,1.5,Dinas Ketahanan Pangan dan Pertanian,2026-09-17 23:09:58.73621+00
