id,page_num,kode_uraian,indikator,baseline_2024,target_2026,pagu_2026,target_2027,pagu_2027,target_2028,pagu_2028,target_2029,pagu_2029,target_2030,pagu_2030,perangkat_daerah,lokasi_keterangan,created_at
1,1,BIDANG URUSAN / PROGRAM /,,BASELINE,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
2,1,OUTCOME / KEGIATAN /,INDIKATOR OUTCOME /,TAHUN,,2026,,2027,,2028,,2029,,,,,2026-09-17 23:10:24.953977+00
3,1,SUBKEGIATAN OUTPUT,OUTPUT,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
4,1,,,,,,,,,,,,,2030,PERANGKAT,KETERANGAN,2026-09-17 23:10:24.953977+00
5,1,,,,TARGET,,TARGET,,TARGET,,TARGET,,TARGET,,,,2026-09-17 23:10:24.953977+00
6,1,2.09 -  URUSAN PEMERINTAHAN,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
7,1,BIDANG PANGAN,,,,15557270000,,15865620000,,16191650000,,16524770000,,16524360000,,,2026-09-17 23:10:24.953977+00
8,1,2.09.01 - PROGRAM PENUNJANG,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
9,1,URUSAN PEMERINTAHAN DAERAH,,,,14848970000,,15157320000,,15483350000,,15816470000,,15816060000,,,2026-09-17 23:10:24.953977+00
10,1,KABUPATEN/KOTA,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
11,1,Meningkatnya kualitas Layanan Umum,Tingkat Kepuasan Pegawai,,,,,,,,,,,,00 - DINAS,,2026-09-17 23:10:24.953977+00
12,1,dan Kepegawaian Perangkat Daerah,Perangkat Daerah (Skor),0,"3,5",3097200000,"3,8",3113230000,4,3138670000,"4,5",3164600000,"4,5",3164190000,KETAHANAN PANGAN DAN,,2026-09-17 23:10:24.953977+00
13,1,,Indeks Pelayanan Publik (%),79,80,,80,,81,,82,,82,,,,2026-09-17 23:10:24.953977+00
14,1,,Tingkat Penerapan SPBE,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
15,1,,Perangkat Daerah (Skor),0,60,,65,,75,,85,,90,,,,2026-09-17 23:10:24.953977+00
16,1,,Persentase BMD dalam kondisi baik,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
17,1,,dan termanfaatkan (%),100,100,,100,,100,,100,,100,,,,2026-09-17 23:10:24.953977+00
18,1,2.09.01.2.05 - Administrasi Kepegawaian,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
19,1,Perangkat Daerah,,,,14190000,,14190000,,14900000,,14900000,,14900000,,,2026-09-17 23:10:24.953977+00
20,1,Persentase Administrasi Kepegawaian,"Jumlah Dokumen Monitoring,",,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
21,1,Perangkat Daerah,"Evaluasi, dan Penilaian Kinerja Pegawai (Dokumen)",1,1,14190000,1,14190000,1,14900000,1,14900000,1,14900000,,,2026-09-17 23:10:24.953977+00
22,1,"2.09.01.2.05.0005 - Monitoring, Evaluasi,",,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
23,1,dan Penilaian Kinerja Pegawai,,,,14190000,,14190000,,14900000,,14900000,,14900000,,,2026-09-17 23:10:24.953977+00
24,1,"Terlaksananya Monitoring, Evaluasi, dan","Jumlah Dokumen Monitoring,",,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
25,1,Penilaian Kinerja Pegawai,"Evaluasi, dan Penilaian Kinerja Pegawai (Dokumen)",1,1,14190000,1,14190000,1,14900000,1,14900000,1,14900000,,,2026-09-17 23:10:24.953977+00
26,1,2.09.01.2.06 - Administrasi Umum,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
27,1,Perangkat Daerah,,,,176980000,,182850000,,191430000,,197860000,,197860000,,,2026-09-17 23:10:24.953977+00
28,1,Persentase Administrasi Umum,Jumlah Paket Komponen Instalasi,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
29,1,Perangkat Daerah,Listrik/Penerangan Bangunan Kantor yang Disediakan (Paket),1,1,176980000,1,182850000,1,191430000,1,197860000,1,197860000,,,2026-09-17 23:10:24.953977+00
30,1,,Jumlah Dokumen Bahan Bacaan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
31,1,,dan Peraturan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
32,1,,Perundang-Undangan yang,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
33,1,,Disediakan (Dokumen),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
34,1,,Jumlah Dokumen Dukungan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
35,1,,Pelaksanaan Sistem Pemerintahan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
36,1,,Berbasis Elektronik pada SKPD,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
37,1,,(Dokumen),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
38,1,,Jumlah Dokumen Penatausahaan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
39,1,,Arsip Dinamis pada SKPD,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
40,1,,(Dokumen),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
41,1,,Jumlah Laporan Penyelenggaraan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
42,1,,Rapat Koordinasi dan Konsultasi,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
43,1,,SKPD (Laporan),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
44,1,,Jumlah Paket Bahan Logistik,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
45,1,,Kantor yang Disediakan (Paket),1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
46,1,,Jumlah Paket Barang Cetakan dan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
47,1,,Penggandaan yang Disediakan,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
48,1,,(Paket),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
49,2,BIDANG URUSAN / PROGRAM /,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
50,2,OUTCOME / KEGIATAN /,INDIKATOR OUTCOME /,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
51,2,,,,,,,2027,,,,2029,,,,,2026-09-17 23:10:24.953977+00
52,2,SUBKEGIATAN OUTPUT,OUTPUT,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
53,2,,,TAHUN,,2026,,,,2028,,,,2030,PERANGKAT DAERAH,KETERANGAN,2026-09-17 23:10:24.953977+00
54,2,,,,TARGET,,TARGET,,TARGET,,TARGET,,TARGET,,,,2026-09-17 23:10:24.953977+00
55,2,,Jumlah Paket Peralatan dan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
56,2,,Perlengkapan Kantor yang,1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
57,2,,Disediakan (Paket),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
58,2,,Jumlah Paket Peralatan Rumah,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
59,2,,Tangga yang Disediakan (Paket),1,1,,1,,1,,1,,1,,,,2026-09-17 23:10:24.953977+00
60,2,2.09.01.2.06.0001 - Penyediaan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
61,2,Komponen Instalasi,,,,8000000,,8200000,,8410000,,8620000,,8620000,,,2026-09-17 23:10:24.953977+00
62,2,Listrik/Penerangan Bangunan Kantor,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
63,2,Tersedianya Komponen Instalasi,Jumlah Paket Komponen Instalasi,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
64,2,Listrik/Penerangan Bangunan Kantor,Listrik/Penerangan Bangunan Kantor yang Disediakan (Paket),1,1,8000000,1,8200000,1,8410000,1,8620000,1,8620000,,,2026-09-17 23:10:24.953977+00
65,2,2.09.01.2.06.0002 - Penyediaan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
66,2,Peralatan dan Perlengkapan Kantor,,,,30000000,,31500000,,33080000,,34730000,,34730000,,,2026-09-17 23:10:24.953977+00
67,2,Tersedianya Peralatan dan,Jumlah Paket Peralatan dan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
68,2,Perlengkapan Kantor,Perlengkapan Kantor yang Disediakan (Paket),1,1,30000000,1,31500000,1,33080000,1,34730000,1,34730000,,,2026-09-17 23:10:24.953977+00
69,2,2.09.01.2.06.0003 - Penyediaan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
70,2,Peralatan Rumah Tangga,,,,15000000,,15380000,,15760000,,16150000,,16150000,,,2026-09-17 23:10:24.953977+00
71,2,Tersedianya Peralatan Rumah Tangga,Jumlah Paket Peralatan Rumah Tangga yang Disediakan (Paket),1,1,15000000,1,15380000,1,15760000,1,16150000,1,16150000,,,2026-09-17 23:10:24.953977+00
72,2,2.09.01.2.06.0004 - Penyediaan Bahan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
73,2,Logistik Kantor,,,,37500000,,39380000,,41350000,,43420000,,43420000,,,2026-09-17 23:10:24.953977+00
74,2,Tersedianya Bahan Logistik Kantor,Jumlah Paket Bahan Logistik Kantor yang Disediakan (Paket),1,1,37500000,1,39380000,1,41350000,1,43420000,1,43420000,,,2026-09-17 23:10:24.953977+00
75,2,2.09.01.2.06.0005 - Penyediaan Barang,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
76,2,Cetakan dan Penggandaan,,,,10000000,,10500000,,11030000,,11580000,,11580000,,,2026-09-17 23:10:24.953977+00
77,2,Tersedianya Barang Cetakan dan,Jumlah Paket Barang Cetakan dan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
78,2,Penggandaan,Penggandaan yang Disediakan (Paket),1,1,10000000,1,10500000,1,11030000,1,11580000,1,11580000,,,2026-09-17 23:10:24.953977+00
79,2,2.09.01.2.06.0006 - Penyediaan Bahan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
80,2,Bacaan dan Peraturan,,,,10900000,,11450000,,12030000,,12640000,,12640000,,,2026-09-17 23:10:24.953977+00
81,2,Perundang-undangan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
82,2,,Jumlah Dokumen Bahan Bacaan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
83,2,Tersedianya Bahan Bacaan dan,dan Peraturan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
84,2,Peraturan Perundang-undangan,Perundang-Undangan yang,1,1,10900000,1,11450000,1,12030000,1,12640000,1,12640000,,,2026-09-17 23:10:24.953977+00
85,2,,Disediakan (Dokumen),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
86,2,2.09.01.2.06.0009 - Penyelenggaraan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
87,2,Rapat Koordinasi dan Konsultasi SKPD,,,,48480000,,48480000,,50910000,,50910000,,50910000,,,2026-09-17 23:10:24.953977+00
88,2,Terlaksananya Penyelenggaraan Rapat,Jumlah Laporan Penyelenggaraan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
89,2,Koordinasi dan Konsultasi SKPD,Rapat Koordinasi dan Konsultasi SKPD (Laporan),1,1,48480000,1,48480000,1,50910000,1,50910000,1,50910000,,,2026-09-17 23:10:24.953977+00
90,2,2.09.01.2.06.0010 - Penatausahaan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
91,2,Arsip Dinamis pada SKPD,,,,10770000,,11310000,,11880000,,12480000,,12480000,,,2026-09-17 23:10:24.953977+00
92,2,Terlaksananya Penatausahaan Arsip,Jumlah Dokumen Penatausahaan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
93,2,Dinamis pada SKPD,Arsip Dinamis pada SKPD (Dokumen),1,1,10770000,1,11310000,1,11880000,1,12480000,1,12480000,,,2026-09-17 23:10:24.953977+00
94,2,2.09.01.2.06.0011 - Dukungan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
95,2,Pelaksanaan Sistem Pemerintahan,,,,6330000,,6650000,,6980000,,7330000,,7330000,,,2026-09-17 23:10:24.953977+00
96,2,Berbasis Elektronik pada SKPD,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
97,2,Terlaksananya Dukungan Pelaksanaan,Jumlah Dokumen Dukungan,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
98,2,Sistem Pemerintahan Berbasis Elektronik,Pelaksanaan Sistem Pemerintahan,1,,6330000,1,6650000,1,6980000,1,7330000,1,7330000,,,2026-09-17 23:10:24.953977+00
99,2,pada SKPD,Berbasis Elektronik pada SKPD,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
100,2,,(Dokumen),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
101,2,2.09.01.2.07 - Pengadaan Barang Milik,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
102,2,Daerah Penunjang Urusan Pemerintah,,,,45000000,,47300000,,49500000,,54000000,,54000000,,,2026-09-17 23:10:24.953977+00
103,2,Daerah,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
104,3,BIDANG URUSAN / PROGRAM /,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
105,3,OUTCOME / KEGIATAN /,INDIKATOR OUTCOME /,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
106,3,,,,,,,2027,,,,2029,,,,,2026-09-17 23:10:24.953977+00
107,3,SUBKEGIATAN OUTPUT,OUTPUT,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
108,3,,,TAHUN,,2026,,,,2028,,,,2030,PERANGKAT DAERAH,KETERANGAN,2026-09-17 23:10:24.953977+00
109,3,,,,TARGET,,TARGET,,TARGET,,TARGET,,TARGET,,,,2026-09-17 23:10:24.953977+00
110,3,Persentase Pengadaan Barang Milik,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
111,3,Daerah Penunjang Urusan Pemerintah,Jumlah Unit Peralatan dan Mesin,,2,45000000,2,,2,49500000,2,,2,54000000,,,2026-09-17 23:10:24.953977+00
112,3,Daerah,Lainnya yang Disediakan (Unit),,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
113,3,,,0,,,,47300000,,,,54000000,,,,,2026-09-17 23:10:24.953977+00
114,3,2.09.01.2.07.0006 - Pengadaan,,,,,,,,,,,,,,,2026-09-17 23:10:24.953977+00
115,3,Peralatan dan Mesin Lainnya,,,,45000000,,47300000,,49500000,,54000000,,54000000,,,2026-09-17 23:10:24.953977+00
