id,page_num,nspk_sasaran_rpjmd,tujuan,sasaran,outcome,output,indikator,program_kegiatan_subkegiatan,keterangan,created_at
1,1,NSPK DAN SASARAN,,,,,,,,2026-09-17 23:10:11.68718+00
2,1,RPJMD YANG RELEVAN,TUJUAN,SASARAN,OUTCOME,OUTPUT,INDIKATOR,,,2026-09-17 23:10:11.68718+00
3,1,,,,,,,PROGRAM / KEGIATAN /,,2026-09-17 23:10:11.68718+00
4,1,,,,,,,SUBKEGIATAN,KETERANGAN,2026-09-17 23:10:11.68718+00
5,1,2.09.3.27.3.25.02.0000 - DINAS KETAHANAN PANGAN DAN PERTANIAN,,,,,,,,2026-09-17 23:10:11.68718+00
6,1,- S.2.1 - Terwujudnya,Mewujudkan ekosistem dan,,,,Kontribusi sektor pertanian,,,2026-09-17 23:10:11.68718+00
7,1,ekosistem dan ruang,ruang pertumbuhan ekonomi,,,,terhadap PDRB (%),,,2026-09-17 23:10:11.68718+00
8,1,pertumbuhan ekonomi yang,"yang inklusif, memperkuat",,,,,,,2026-09-17 23:10:11.68718+00
9,1,inklusif,perlindungan sosial bagi,,,,,,,2026-09-17 23:10:11.68718+00
10,1,- S.6.2 - Meningkatnya Daya,"masyarakat, serta",,,,,,,2026-09-17 23:10:11.68718+00
11,1,Beli dan Ketahanan Pangan,meningkatkan daya beli serta,,,,,,,2026-09-17 23:10:11.68718+00
12,1,Masyarakat,"ketahanan pangan, dan",,,,,,,2026-09-17 23:10:11.68718+00
13,1,- S.6.1 - Meningkatnya,mengoptimalkan akuntabilitas,,,,,,,2026-09-17 23:10:11.68718+00
14,1,perlindungan sosial,kinerja pemerintah daerah,,,,,,,2026-09-17 23:10:11.68718+00
15,1,Masyarakat,,,,,,,,2026-09-17 23:10:11.68718+00
16,1,- S.4.3 - Meningkatnya,,,,,,,,2026-09-17 23:10:11.68718+00
17,1,akuntabilitas kinerja,,,,,,,,2026-09-17 23:10:11.68718+00
18,1,pemerintah daerah,,,,,,,,2026-09-17 23:10:11.68718+00
19,1,,,meningkatkan akuntabilitas,,,Indeks Reformasi Birokrasi,,,2026-09-17 23:10:11.68718+00
20,1,,,kinerja pemerintah daerah yang,,,Perangkat Daerah (poin),,,2026-09-17 23:10:11.68718+00
21,1,,,efektif dan efisien,,,,,,2026-09-17 23:10:11.68718+00
22,1,,,,Meningkatnya kualitas,,Tingkat Kepuasan Pegawai,2.09.01 - PROGRAM,,2026-09-17 23:10:11.68718+00
23,1,,,,Layanan Umum dan,,Perangkat Daerah (Skor),PENUNJANG URUSAN,,2026-09-17 23:10:11.68718+00
24,1,,,,Kepegawaian Perangkat,,,PEMERINTAHAN DAERAH,,2026-09-17 23:10:11.68718+00
25,1,,,,Daerah,,,KABUPATEN/KOTA,,2026-09-17 23:10:11.68718+00
26,1,,,,,,Tingkat Penerapan SPBE,2.09.01 - PROGRAM,,2026-09-17 23:10:11.68718+00
27,1,,,,,,Perangkat Daerah (Skor),PENUNJANG URUSAN,,2026-09-17 23:10:11.68718+00
28,1,,,,,,,PEMERINTAHAN DAERAH,,2026-09-17 23:10:11.68718+00
29,1,,,,,,,KABUPATEN/KOTA,,2026-09-17 23:10:11.68718+00
30,1,,,,,,Indeks Pelayanan Publik (%),2.09.01 - PROGRAM,,2026-09-17 23:10:11.68718+00
31,1,,,,,,,PENUNJANG URUSAN,,2026-09-17 23:10:11.68718+00
32,1,,,,,,,PEMERINTAHAN DAERAH,,2026-09-17 23:10:11.68718+00
33,1,,,,,,,KABUPATEN/KOTA,,2026-09-17 23:10:11.68718+00
34,1,,,,,,Persentase BMD dalam kondisi,2.09.01 - PROGRAM,,2026-09-17 23:10:11.68718+00
35,1,,,,,,baik dan termanfaatkan (%),PENUNJANG URUSAN,,2026-09-17 23:10:11.68718+00
36,1,,,,,,,PEMERINTAHAN DAERAH,,2026-09-17 23:10:11.68718+00
37,1,,,,,,,KABUPATEN/KOTA,,2026-09-17 23:10:11.68718+00
38,1,,,,,Persentase Administrasi,"Jumlah Dokumen Monitoring,",2.09.01.2.05 - Administrasi,,2026-09-17 23:10:11.68718+00
39,1,,,,,Kepegawaian Perangkat,"Evaluasi, dan Penilaian Kinerja",Kepegawaian Perangkat,,2026-09-17 23:10:11.68718+00
40,1,,,,,Daerah,Pegawai (Dokumen),Daerah,,2026-09-17 23:10:11.68718+00
41,1,,,,,,"Jumlah Dokumen Monitoring,","2.09.01.2.05.0005 - Monitoring,",,2026-09-17 23:10:11.68718+00
42,1,,,,,,"Evaluasi, dan Penilaian Kinerja","Evaluasi, dan Penilaian Kinerja",,2026-09-17 23:10:11.68718+00
43,1,,,,,,Pegawai (Dokumen),Pegawai,,2026-09-17 23:10:11.68718+00
44,1,,,,,Persentase Administrasi,Jumlah Dokumen Bahan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
45,1,,,,,Umum Perangkat Daerah,Bacaan dan Peraturan,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
46,1,,,,,,Perundang-Undangan yang,,,2026-09-17 23:10:11.68718+00
47,1,,,,,,Disediakan (Dokumen),,,2026-09-17 23:10:11.68718+00
48,2,NSPK DAN SASARAN,,,,,,,,2026-09-17 23:10:11.68718+00
49,2,RPJMD YANG RELEVAN,TUJUAN,SASARAN,OUTCOME,OUTPUT,INDIKATOR,,,2026-09-17 23:10:11.68718+00
50,2,,,,,,,PROGRAM / KEGIATAN /,,2026-09-17 23:10:11.68718+00
51,2,,,,,,,SUBKEGIATAN,KETERANGAN,2026-09-17 23:10:11.68718+00
52,2,,,,,,Jumlah Dokumen Dukungan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
53,2,,,,,,Pelaksanaan Sistem,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
54,2,,,,,,Pemerintahan Berbasis,,,2026-09-17 23:10:11.68718+00
55,2,,,,,,Elektronik pada SKPD,,,2026-09-17 23:10:11.68718+00
56,2,,,,,,(Dokumen),,,2026-09-17 23:10:11.68718+00
57,2,,,,,,Jumlah Dokumen,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
58,2,,,,,,Penatausahaan Arsip Dinamis,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
59,2,,,,,,pada SKPD (Dokumen),,,2026-09-17 23:10:11.68718+00
60,2,,,,,,Jumlah Laporan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
61,2,,,,,,Penyelenggaraan Rapat,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
62,2,,,,,,Koordinasi dan Konsultasi,,,2026-09-17 23:10:11.68718+00
63,2,,,,,,SKPD (Laporan),,,2026-09-17 23:10:11.68718+00
64,2,,,,,,Jumlah Paket Bahan Logistik,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
65,2,,,,,,Kantor yang Disediakan,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
66,2,,,,,,(Paket),,,2026-09-17 23:10:11.68718+00
67,2,,,,,,Jumlah Paket Barang Cetakan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
68,2,,,,,,dan Penggandaan yang,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
69,2,,,,,,Disediakan (Paket),,,2026-09-17 23:10:11.68718+00
70,2,,,,,,Jumlah Paket Komponen,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
71,2,,,,,,Instalasi Listrik/Penerangan,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
72,2,,,,,,Bangunan Kantor yang,,,2026-09-17 23:10:11.68718+00
73,2,,,,,,Disediakan (Paket),,,2026-09-17 23:10:11.68718+00
74,2,,,,,,Jumlah Paket Peralatan dan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
75,2,,,,,,Perlengkapan Kantor yang,Umum Perangkat Daerah,,2026-09-17 23:10:11.68718+00
76,2,,,,,,Disediakan (Paket),,,2026-09-17 23:10:11.68718+00
77,2,,,,,,Jumlah Paket Peralatan,2.09.01.2.06 - Administrasi,,2026-09-17 23:10:11.68718+00
